,question,answer,image_path,label
0,what is the blue shape?,rectangle,0.png,7
1,what color is the shape?,blue,0.png,11
2,does the image contain a rectangle?,yes,0.png,4
3,is there a triangle in the image?,no,0.png,12
4,is there a black shape?,no,0.png,12
5,does the image not contain a gray shape?,yes,0.png,4
6,is there a red shape in the image?,no,0.png,12
7,does the image not contain a red shape?,yes,0.png,4
8,is there not a blue shape?,no,0.png,12
9,is there not a blue shape in the image?,no,0.png,12
10,is there not a yellow shape?,yes,0.png,4
11,is a teal shape present?,no,0.png,12
12,what color is the triangle?,blue,1.png,11
13,what color is the shape?,blue,1.png,11
14,is there not a rectangle in the image?,yes,1.png,4
15,is there a red shape?,no,1.png,12
16,is there a green shape in the image?,no,1.png,12
17,is there not a teal shape?,yes,1.png,4
18,what shape is in the image?,triangle,2.png,9
19,what shape does the image contain?,triangle,2.png,9
20,what color is the triangle?,red,2.png,2
21,what is the color of the triangle?,red,2.png,2
22,is there a circle?,no,2.png,12
23,does the image contain a green shape?,no,2.png,12
24,is there a blue shape in the image?,no,2.png,12
25,is there a teal shape?,no,2.png,12
26,is there not a teal shape in the image?,yes,2.png,4
27,what shape is present?,rectangle,3.png,7
28,what shape does the image contain?,rectangle,3.png,7
29,what color is the rectangle?,brown,3.png,10
30,what is the color of the rectangle?,brown,3.png,10
31,what is the color of the shape?,brown,3.png,10
32,does the image not contain a circle?,yes,3.png,4
33,does the image contain a triangle?,no,3.png,12
34,does the image contain a gray shape?,no,3.png,12
35,is there a blue shape?,no,3.png,12
36,is no yellow shape present?,yes,3.png,4
37,is there not a brown shape?,no,3.png,12
38,what is the red shape?,circle,4.png,0
39,what is the color of the circle?,red,4.png,2
40,what is the color of the shape?,red,4.png,2
41,is there not a rectangle in the image?,yes,4.png,4
42,is a circle present?,yes,4.png,4
43,does the image not contain a circle?,no,4.png,12
44,is there a black shape?,no,4.png,12
45,is there not a gray shape?,yes,4.png,4
46,does the image contain a red shape?,yes,4.png,4
47,does the image contain a yellow shape?,no,4.png,12
48,is there not a yellow shape in the image?,yes,4.png,4
49,is there a teal shape?,no,4.png,12
50,is there a brown shape in the image?,no,4.png,12
51,is there not a brown shape in the image?,yes,4.png,4
52,what is the yellow shape?,triangle,5.png,9
53,what color is the triangle?,yellow,5.png,8
54,what is the color of the triangle?,yellow,5.png,8
55,is a rectangle present?,no,5.png,12
56,is there not a circle?,yes,5.png,4
57,is there a triangle?,yes,5.png,4
58,is a green shape present?,no,5.png,12
59,does the image contain a yellow shape?,yes,5.png,4
60,is there a brown shape in the image?,no,5.png,12
61,what is the red shape?,circle,6.png,0
62,what is the color of the circle?,red,6.png,2
63,what is the color of the shape?,red,6.png,2
64,is no rectangle present?,yes,6.png,4
65,does the image contain a circle?,yes,6.png,4
66,is there not a circle?,no,6.png,12
67,is there not a triangle in the image?,yes,6.png,4
68,does the image not contain a gray shape?,yes,6.png,4
69,is there a green shape?,no,6.png,12
70,is there a blue shape?,no,6.png,12
71,is a blue shape present?,no,6.png,12
72,is a yellow shape present?,no,6.png,12
73,is no teal shape present?,yes,6.png,4
74,what is the color of the circle?,black,7.png,6
75,is a rectangle present?,no,7.png,12
76,is there not a triangle?,yes,7.png,4
77,is there not a gray shape?,yes,7.png,4
78,is there not a gray shape in the image?,yes,7.png,4
79,is there a red shape?,no,7.png,12
80,is there not a brown shape?,yes,7.png,4
81,what is the color of the rectangle?,brown,8.png,10
82,does the image not contain a circle?,yes,8.png,4
83,is no gray shape present?,yes,8.png,4
84,does the image contain a red shape?,no,8.png,12
85,is no red shape present?,yes,8.png,4
86,does the image not contain a green shape?,yes,8.png,4
87,is there a blue shape in the image?,no,8.png,12
88,does the image not contain a blue shape?,yes,8.png,4
89,is there a teal shape in the image?,no,8.png,12
90,is there a brown shape in the image?,yes,8.png,4
91,what shape is in the image?,rectangle,9.png,7
92,what is the yellow shape?,rectangle,9.png,7
93,what is the color of the rectangle?,yellow,9.png,8
94,what color is the shape?,yellow,9.png,8
95,is there a rectangle?,yes,9.png,4
96,is a gray shape present?,no,9.png,12
97,is a red shape present?,no,9.png,12
98,is no red shape present?,yes,9.png,4
99,does the image not contain a blue shape?,yes,9.png,4
100,is there a brown shape?,no,9.png,12
101,does the image not contain a brown shape?,yes,9.png,4
102,what shape is in the image?,circle,10.png,0
103,what shape does the image contain?,circle,10.png,0
104,what color is the circle?,brown,10.png,10
105,is there not a rectangle?,yes,10.png,4
106,is there a circle in the image?,yes,10.png,4
107,is a triangle present?,no,10.png,12
108,is a black shape present?,no,10.png,12
109,does the image contain a gray shape?,no,10.png,12
110,is there not a green shape in the image?,yes,10.png,4
111,is no brown shape present?,no,10.png,12
112,what is the color of the triangle?,blue,11.png,11
113,what color is the shape?,blue,11.png,11
114,is there not a rectangle in the image?,yes,11.png,4
115,is there not a circle in the image?,yes,11.png,4
116,is there a black shape in the image?,no,11.png,12
117,does the image contain a black shape?,no,11.png,12
118,is there not a black shape in the image?,yes,11.png,4
119,does the image contain a gray shape?,no,11.png,12
120,is there a blue shape?,yes,11.png,4
121,is a blue shape present?,yes,11.png,4
122,is there a brown shape in the image?,no,11.png,12
123,what shape is in the image?,circle,12.png,0
124,what shape does the image contain?,circle,12.png,0
125,what is the yellow shape?,circle,12.png,0
126,what color is the shape?,yellow,12.png,8
127,what is the color of the shape?,yellow,12.png,8
128,is there not a circle?,no,12.png,12
129,is there a black shape?,no,12.png,12
130,is there not a black shape in the image?,yes,12.png,4
131,is there a gray shape in the image?,no,12.png,12
132,is a gray shape present?,no,12.png,12
133,does the image not contain a gray shape?,yes,12.png,4
134,is no gray shape present?,yes,12.png,4
135,is there a green shape?,no,12.png,12
136,is there not a yellow shape in the image?,no,12.png,12
137,what shape is present?,rectangle,13.png,7
138,what is the color of the shape?,brown,13.png,10
139,is a rectangle present?,yes,13.png,4
140,does the image contain a circle?,no,13.png,12
141,is there not a triangle?,yes,13.png,4
142,is there a gray shape in the image?,no,13.png,12
143,is a gray shape present?,no,13.png,12
144,is there not a red shape?,yes,13.png,4
145,does the image not contain a red shape?,yes,13.png,4
146,is there not a yellow shape in the image?,yes,13.png,4
147,is a teal shape present?,no,13.png,12
148,what shape is present?,circle,14.png,0
149,what is the yellow shape?,circle,14.png,0
150,is there a circle?,yes,14.png,4
151,does the image contain a triangle?,no,14.png,12
152,is there not a green shape?,yes,14.png,4
153,is there not a brown shape in the image?,yes,14.png,4
154,what shape is present?,rectangle,15.png,7
155,does the image contain a triangle?,no,15.png,12
156,is no triangle present?,yes,15.png,4
157,is a gray shape present?,no,15.png,12
158,does the image contain a red shape?,no,15.png,12
159,does the image contain a green shape?,yes,15.png,4
160,is there not a blue shape?,yes,15.png,4
161,is no yellow shape present?,yes,15.png,4
162,is there not a teal shape in the image?,yes,15.png,4
163,what shape is present?,circle,16.png,0
164,what shape does the image contain?,circle,16.png,0
165,what color is the circle?,blue,16.png,11
166,is there a triangle?,no,16.png,12
167,is a triangle present?,no,16.png,12
168,is there a black shape?,no,16.png,12
169,is there a gray shape?,no,16.png,12
170,is a blue shape present?,yes,16.png,4
171,is there not a teal shape in the image?,yes,16.png,4
172,is no brown shape present?,yes,16.png,4
173,what shape does the image contain?,triangle,17.png,9
174,what is the color of the triangle?,black,17.png,6
175,is there a triangle?,yes,17.png,4
176,does the image not contain a triangle?,no,17.png,12
177,is a black shape present?,yes,17.png,4
178,is there a red shape?,no,17.png,12
179,is there a green shape?,no,17.png,12
180,is there a blue shape in the image?,no,17.png,12
181,is there a yellow shape?,no,17.png,12
182,does the image not contain a teal shape?,yes,17.png,4
183,what is the color of the triangle?,blue,18.png,11
184,is no rectangle present?,yes,18.png,4
185,is there not a circle in the image?,yes,18.png,4
186,is no circle present?,yes,18.png,4
187,does the image contain a triangle?,yes,18.png,4
188,is no triangle present?,no,18.png,12
189,is there a red shape in the image?,no,18.png,12
190,is a red shape present?,no,18.png,12
191,is there a yellow shape in the image?,no,18.png,12
192,is there not a teal shape in the image?,yes,18.png,4
193,what shape is present?,triangle,19.png,9
194,what is the gray shape?,triangle,19.png,9
195,what is the color of the shape?,gray,19.png,3
196,is there not a rectangle?,yes,19.png,4
197,is no triangle present?,no,19.png,12
198,is there a black shape?,no,19.png,12
199,is there a green shape in the image?,no,19.png,12
200,is there not a blue shape in the image?,yes,19.png,4
201,does the image not contain a teal shape?,yes,19.png,4
202,is there a brown shape in the image?,no,19.png,12
203,is no brown shape present?,yes,19.png,4
204,what shape is in the image?,rectangle,20.png,7
205,what shape is present?,rectangle,20.png,7
206,what color is the shape?,black,20.png,6
207,what is the color of the shape?,black,20.png,6
208,is there a rectangle in the image?,yes,20.png,4
209,does the image not contain a circle?,yes,20.png,4
210,is there not a triangle in the image?,yes,20.png,4
211,is a gray shape present?,no,20.png,12
212,is no red shape present?,yes,20.png,4
213,what shape is present?,rectangle,21.png,7
214,what shape does the image contain?,rectangle,21.png,7
215,what is the yellow shape?,rectangle,21.png,7
216,what color is the rectangle?,yellow,21.png,8
217,what is the color of the shape?,yellow,21.png,8
218,is there not a circle?,yes,21.png,4
219,is no circle present?,yes,21.png,4
220,does the image not contain a gray shape?,yes,21.png,4
221,does the image not contain a red shape?,yes,21.png,4
222,is no red shape present?,yes,21.png,4
223,does the image contain a green shape?,no,21.png,12
224,is there a brown shape?,no,21.png,12
225,what shape is present?,triangle,22.png,9
226,what shape does the image contain?,triangle,22.png,9
227,what is the teal shape?,triangle,22.png,9
228,what color is the triangle?,teal,22.png,5
229,what is the color of the triangle?,teal,22.png,5
230,what color is the shape?,teal,22.png,5
231,what is the color of the shape?,teal,22.png,5
232,is there a rectangle in the image?,no,22.png,12
233,is there a triangle in the image?,yes,22.png,4
234,is there not a triangle?,no,22.png,12
235,is there a red shape?,no,22.png,12
236,is no red shape present?,yes,22.png,4
237,does the image not contain a green shape?,yes,22.png,4
238,is a brown shape present?,no,22.png,12
239,is there not a brown shape in the image?,yes,22.png,4
240,what is the red shape?,circle,23.png,0
241,what is the color of the shape?,red,23.png,2
242,does the image not contain a gray shape?,yes,23.png,4
243,is no gray shape present?,yes,23.png,4
244,is a blue shape present?,no,23.png,12
245,does the image not contain a blue shape?,yes,23.png,4
246,does the image contain a yellow shape?,no,23.png,12
247,does the image not contain a brown shape?,yes,23.png,4
248,what shape is in the image?,rectangle,24.png,7
249,what shape is present?,rectangle,24.png,7
250,what is the green shape?,rectangle,24.png,7
251,what is the color of the rectangle?,green,24.png,1
252,what is the color of the shape?,green,24.png,1
253,is there not a red shape?,yes,24.png,4
254,is there a green shape in the image?,yes,24.png,4
255,does the image contain a blue shape?,no,24.png,12
256,does the image not contain a yellow shape?,yes,24.png,4
257,what shape is present?,triangle,25.png,9
258,what is the teal shape?,triangle,25.png,9
259,what is the color of the triangle?,teal,25.png,5
260,does the image not contain a rectangle?,yes,25.png,4
261,is there a circle in the image?,no,25.png,12
262,is a circle present?,no,25.png,12
